patient_id	major_cell_class	n_cells	marker_mean_acinar	marker_mean_b_cell	marker_mean_endocrine	marker_mean_endothelial	marker_mean_fibroblast_caf	marker_mean_malignant_or_ductal	marker_mean_mast	marker_mean_myeloid	marker_mean_nk_cell	marker_mean_t_cell
T19	myeloid	590	0.21313559322033898	0.11567796610169491	7.016949152542373	0.24011299435028252	0.23163841807909605	0.3012106537530266	0.00847457627118644	19.557288135593218	0.2966101694915254	0.3961864406779661
T19	nonmalignant_epithelial	121	61.15702479338843	0.14256198347107438	529.801652892562	0.4049586776859504	0.5798898071625344	3.605667060212515	0.03305785123966942	2.3239669421487603	0.34090909090909094	0.19834710743801653
T1	B_cell	18	0.08333333333333333	1.6111111111111112	13.430555555555555	0.1851851851851852	0.13888888888888887	0.5714285714285714	0.0	0.4666666666666666	0.19444444444444445	0.09722222222222222
T1	T_cell	63	0.03968253968253968	0.10317460317460317	10.285714285714285	0.15343915343915343	0.08994708994708994	0.4920634920634921	0.015873015873015872	0.6285714285714286	1.3888888888888888	0.8253968253968254
T1	endothelial	321	0.13161993769470404	0.08566978193146417	20.84423676012461	4.734164070612668	0.21962616822429906	1.0404984423676011	0.016614745586708203	0.795638629283489	0.5054517133956387	0.11993769470404983
T1	fibroblast_caf	176	0.10369318181818182	0.05113636363636363	13.400568181818182	0.20454545454545456	6.123106060606061	0.6185064935064936	0.001893939393939394	0.6386363636363637	0.3693181818181818	0.12215909090909091
T1	malignant_epithelial	431	1.597447795823666	0.08584686774941995	31.961136890951273	0.5096674400618716	0.3205723124516628	10.840901557838913	0.013921113689095127	13.096519721577724	0.7238979118329466	0.19605568445475638
T1	myeloid	115	0.12173913043478261	0.03695652173913044	15.617391304347827	0.19130434782608696	0.19855072463768117	0.7329192546583851	0.005797101449275362	4.114782608695651	0.3804347826086957	0.25
T1	nonmalignant_epithelial	47	0.3723404255319149	0.12234042553191488	728.4095744680851	1.0212765957446808	0.48226950354609927	2.6930091185410334	0.028368794326241134	2.1659574468085108	1.1595744680851063	0.3670212765957446
T20	T_cell	7	0.07142857142857142	0.14285714285714285	3.8214285714285716	0.0	0.0	0.6326530612244898	5.6190476190476195	0.8	2.285714285714286	2.321428571428571
T20	endothelial	90	0.25833333333333336	0.09166666666666667	6.694444444444444	14.640740740740739	0.03148148148148148	1.4079365079365078	0.007407407407407408	0.5711111111111111	0.05	0.022222222222222223
T20	fibroblast_caf	29	0.1810344827586207	0.008620689655172414	4.456896551724138	0.14942528735632185	12.419540229885056	0.8965517241379312	0.0	0.3931034482758621	0.06034482758620689	0.06896551724137931
