taxon	total_abundance	mean_abundance	median_abundance	max_abundance	prevalence_count	prevalence_fraction	zero_fraction
Pandoraea	305.4765233487334	4.927040699173119	0.0	30.2630126525998	22	0.3548387096774194	0.6451612903225806
Alcaligenes	5.340303170051451	0.08613392209760404	0.0	3.02481463045352	2	0.03225806451612903	0.967741935483871
Rhodococcus	491.3857898221635	7.925577255196185	0.0	59.1911831583469	25	0.4032258064516129	0.5967741935483871
Streptococcus	6241.8916226145575	100.67567133249287	0.0	5399.26531592225	26	0.41935483870967744	0.5806451612903226
Alistipes	124.31485024660225	2.005078229783907	0.0	55.630651802103	6	0.0967741935483871	0.9032258064516129
Weissella	2.31309354093505	0.037307960337662094	0.0	2.31309354093505	1	0.016129032258064516	0.9838709677419355
Rhizorhabdus	5597.447198703824	90.28140643070684	86.28405871774865	220.485985817535	60	0.967741935483871	0.03225806451612903
Dermacoccus	3.91446599235162	0.0631365482637358	0.0	3.91446599235162	1	0.016129032258064516	0.9838709677419355
Citromicrobium	250.93960647146844	4.047413007604329	0.0	19.7276934678847	22	0.3548387096774194	0.6451612903225806
Massilia	2018.4356266437828	32.55541333296424	24.86243304832645	181.133017282452	50	0.8064516129032258	0.1935483870967742
Candida	3138.7702500717714	50.62532661406083	0.0	1052.59657232752	22	0.3548387096774194	0.6451612903225806
Propionibacterium	10.71234637197	0.1727797801930645	0.0	10.71234637197	1	0.016129032258064516	0.9838709677419355
Lymphocryptovirus	263.6226427183036	4.251978108359736	0.0	180.630783332566	4	0.06451612903225806	0.9354838709677419
Ramlibacter	14770.569204888598	238.23498717562254	232.854708353892	620.8421179599	62	1.0	0.0
Caulobacter	71357.0109493795	1150.919531441605	907.951805927547	2302.19104662488	62	1.0	0.0
Phaeobacter	68.9527112600689	1.1121405041946597	0.0	37.5974772153082	4	0.06451612903225806	0.9354838709677419
Bacteroides	11195.359305724478	180.57031138265287	16.93397927489405	4566.44797133007	40	0.6451612903225806	0.3548387096774194
Myroides	195.89538259973938	3.159602945157087	0.0	116.877841968661	7	0.11290322580645161	0.8870967741935484
Martelella	62.56547587866264	1.009120578688107	0.0	16.3334491737285	7	0.11290322580645161	0.8870967741935484
Thioalkalivibrio	4.80411735424971	0.07748576377822113	0.0	4.80411735424971	1	0.016129032258064516	0.9838709677419355
Enterococcus	487.8028304991807	7.867787588696463	0.0	161.905602150166	17	0.27419354838709675	0.7258064516129032
Gemella	144.9845646017501	2.338460719383066	0.0	104.227952952741	3	0.04838709677419355	0.9516129032258065
Laribacter	190.78748959445832	3.0772175741041665	0.0	23.692318600118	13	0.20967741935483872	0.7903225806451613
Jeongeupia	18.43734387401141	0.29737651409695826	0.0	6.94646561879378	4	0.06451612903225806	0.9354838709677419
Cytomegalovirus	1790.646426384601	28.881393973945176	0.0	1585.29429676268	5	0.08064516129032258	0.9193548387096774
Variovorax	7792.486684044517	125.6852690974922	110.491030373062	1001.84940521244	62	1.0	0.0
